county,lat,lng
Allegan,42.5913,-85.8884
Carroll,33.5828,-85.0798
Gallatin,45.5404,-111.1704
Tom Green,31.4044,-100.4621
Fayette,33.4139,-84.4943
Douglas,38.8847,-95.2926
Missoula,47.0365,-113.9237
Lowndes,30.8338,-83.2677
Oswego,43.4269,-76.1414
Potter,35.4013,-101.8939
Sheboygan,43.7212,-87.9454
Robeson,34.6402,-79.1039
Flagler,29.4614,-81.3136
Wayne,35.364,-78.004
Jefferson,44.0495,-75.9203
Wayne,40.8289,-81.888
Henderson,35.3363,-82.48
Calhoun,33.7714,-85.826
Lycoming,41.3434,-77.0645
St. Mary's,38.3024,-76.6058
Newton,33.555,-83.8502
Northwest Hills,41.8469,-73.2212
Albemarle,38.0229,-78.5567
Ontario,42.8528,-77.2998
LaPorte,41.546,-86.74
Delaware,40.2275,-85.3969
Androscoggin,44.1658,-70.2065
Douglas,43.2797,-123.1665
Craighead,35.8308,-90.6328
Hardin,37.6979,-85.9634
Rockwall,32.8978,-96.4079
Cowlitz,46.1932,-122.681
Mercer,41.3022,-80.2577
Hanover,37.7601,-77.491
Pennington,44.0037,-102.8238
Warren,40.8572,-74.9973
LaSalle,41.344,-88.8859
Bartow,34.2377,-84.8403
Madison,32.6347,-90.0337
Eaton,42.5961,-84.8383
Terrebonne,29.4148,-90.8663
Bradley,35.1541,-84.8596
Miami,40.0535,-84.2288
St. Lawrence,44.4964,-75.0691
Matanuska-Susitna,62.316,-149.5729
Cass,38.647,-94.3549
Yamhill,45.2326,-123.3081
Kankakee,41.1377,-87.8618
Carver,44.8207,-93.8026
Navajo,35.3996,-110.3214
Houston,31.1532,-85.3025
Platte,39.3803,-94.7738
Vigo,39.4306,-87.39
Monongalia,39.6303,-80.0466
Flathead,48.2951,-114.0497
Eau Claire,44.7268,-91.286
Woodbury,42.3897,-96.0448
Sumter,33.9162,-80.3822
Walworth,42.6685,-88.5419
Franklin,38.4111,-91.075
Adams,39.8715,-77.2178
Limestone,34.8101,-86.9814
Fond du Lac,43.7536,-88.4883
Cecil,39.5712,-75.9407
Wicomico,38.3733,-75.6208
Bay,43.7075,-83.9924
Macon,39.86,-88.9616
Etowah,34.0453,-86.0348
Whitfield,34.8056,-84.9672
Daviess,37.7318,-87.0873
Tompkins,42.452,-76.4736
Highlands,27.3433,-81.341
Nevada,39.3013,-120.7689
Allen,40.7715,-84.1058
Maury,35.6169,-87.077
Columbiana,40.7684,-80.7772
Hunt,33.1236,-96.0855
Craven,35.1249,-77.0939
Moore,35.3106,-79.4814
DeKalb,41.8935,-88.7703
Dallas,41.6849,-94.0398
Laramie,41.3069,-104.6894
Garland,34.5767,-93.1504
Cleveland,35.3341,-81.5555
Montgomery,37.1743,-80.3872
Lenawee,41.8951,-84.0664
Roanoke,37.2785,-79.958
Grant,47.2057,-119.4518
Sutter,39.0346,-121.6948
Dubuque,42.4688,-90.8825
Madison,35.6081,-88.8385
Story,42.0362,-93.465
Floyd,34.2632,-85.2143
Sevier,35.7846,-83.5242
Burleigh,46.9774,-100.4687
Bastrop,30.1036,-97.312
Putnam,41.4267,-73.7495
Marshall,34.367,-86.3066
Sherburne,45.444,-93.7746
Walton,33.7816,-83.7339
Ashtabula,41.7072,-80.7482
Lancaster,34.6867,-80.7054
Portsmouth,36.8453,-76.3554
Lafourche,29.5662,-90.4256
Franklin,46.5347,-118.899
Roanoke,37.2693,-80.068
Fairbanks North Star,64.8078,-146.5654
Rogers,36.3715,-95.6043
Northeastern Connecticut,41.827,-71.9769
Benton,44.4918,-123.4293
Cape May,39.1495,-74.8004
Geauga,41.4995,-81.1786
Grand Traverse,44.6687,-85.5605
Nash,35.9673,-77.9864
Suffolk,36.6953,-76.6398
Lauderdale,34.9014,-87.654
Cabell,38.4203,-82.2417
St. Croix,45.034,-92.4526
Rockdale,33.6543,-84.0266
Steuben,42.2678,-77.3838
Pottawattamie,41.3366,-95.5423
Liberty,30.1516,-94.8122
Calvert,38.5434,-76.5687
Campbell,38.9465,-84.3795
Madison,37.7202,-84.278
Tuscarawas,40.4409,-81.4737
Bowie,33.4458,-94.4234
Frederick,39.2046,-78.2626
Ozaukee,43.384,-87.9509
St. Clair,33.7157,-86.3146
Nassau,30.6107,-81.8019
Northumberland,40.852,-76.7095
Wayne,43.1566,-77.0294
Victoria,28.7964,-96.9715
Rockingham,36.396,-79.775
Mendocino,39.4402,-123.3915
Grafton,43.9407,-71.8208
